date,company,role,location,source,status,draft_path
6/29/26,valantic,"Praktikant or Werkstudent, AI Engineering and Cloud Prototyping",Eschborn,Indeed,rejected,drafts/valantic/
6/29/26,Airbus,"Werkstudent, Scientific Computing and Machine Learning",Bremen,Indeed,rejected,drafts/Airbus/
6/29/26,nexmart,"Werkstudent, Data Engineering",Stuttgart,Indeed,rejected,drafts/nexmart/
6/29/26,Vanderlande,"Werkstudent, Artificial Intelligence and Vision",Konstanz,Indeed,applied,drafts/Vanderlande/
6/29/26,Mercedes-Benz Tech Innovation,"Werkstudent, Data Engineering and Data Science",Stuttgart,Indeed,rejected,drafts/Mercedes-Benz Tech Innovation/
6/30/26,AbbVie,"Praktikum or Werkstudent, AI/ML and Computer Vision",Ludwigshafen am Rhein,Indeed,applied,drafts/AbbVie/
6/30/26,EnBW,"Werkstudent, AI Automation and Data Science",Karlsruhe,Indeed,rejected,drafts/EnBW/
6/30/26,Ärzteverband Deutscher Allergologen,"Werkstudent, Data Science",Wiesbaden,Indeed,applied,drafts/Arzteverband Deutscher Allergologen/
6/30/26,Alloqis,"Werkstudent, Data Science and Python Development",Tübingen,Indeed,rejected,drafts/Alloqis/
6/30/26,Muhr und Bender,"Werkstudent, Data Science and Machine Learning",Attendorn,Indeed,applied,drafts/Muhr und Bender/
7/2/26,1KOMMA5,"Working Student, Data Science Forecasting",Hamburg,Indeed,applied,drafts/1KOMMA5/
7/2/26,Bosch,"Master Thesis, Graph Based QA and RAG",Reutlingen,Indeed,shortlisted but no interview,drafts/Bosch/
7/2/26,Wurth Group,"Master Thesis, Data and AI Intelligent Pricing",Berlin-Adlershof,Indeed,rejected,drafts/Wurth/
7/2/26,Porsche Digital,"Werkstudent, Data Analyst and BI Analyst",Berlin,Indeed,rejected,drafts/Porsche/
7/2/26,BMW Group,"Werkstudent, Data Analyst Programmplanung Antrieb",Munchen,Indeed,rejected,drafts/BMW/
7/2/26,Leica Microsystems,"Master Thesis, Data Science Preventative Service",Mannheim,LinkedIn,rejected,drafts/Leica Microsystems/
7/4/26,Airbus Defence and Space,"Master Student, AI Powered Compliance Assistant",Friedrichshafen,Indeed,applied,drafts/Airbus Defence and Space/
7/4/26,BMW Group,"Master Thesis, Automated Generative AI Evaluation",Munchen,Indeed,rejected,drafts/BMW Master Thesis/
7/4/26,PowerCo,"Master Thesis, Regulatory Intelligence powered by AI in Product Management",Salzgitter,Indeed,rejected,drafts/PowerCo/
7/4/26,Airbus Operations,"Working Student, Data Scientist Aircraft Configuration Management",Hamburg,Indeed,rejected,drafts/Airbus Operations/
7/4/26,Brauerei Gebruder Maisel,"Werkstudent, Data Engineering Dateninfrastruktur",Bayreuth,Indeed,applied,drafts/Brauerei Gebruder Maisel/
7/6/26,Uniper,"Masters Thesis or Working Student, Environmental Market Modeling EU ETS",Dusseldorf,Indeed,rejected,drafts/Uniper/
7/6/26,Transdev,"Werkstudent, KI Platform and LLM Prototyping",Berlin,Indeed,rejected,drafts/Transdev/
7/6/26,ASAP Gruppe,"Werkstudent, KI and Data Science Automotive",Ingolstadt,Indeed,rejected,drafts/ASAP/
